,,p,gi,ro,gi_opt
0,2,1,16,16,16
1,2,2,32,32,32
2,2,3,48,48,48
3,3,1,68,58,66
4,3,2,136,116,132
5,3,3,204,174,198
6,4,1,144,156,188
7,4,2,288,312,376
8,4,3,432,468,564
9,5,1,244,366,382
10,5,2,488,732,764
11,5,3,732,1098,1146
12,6,1,368,800,720
13,6,2,736,1600,1440
14,6,3,1104,2400,2160
15,7,1,516,1682,1202
16,7,2,1032,3364,2404
17,7,3,1548,5046,3606
