,,p,gi_c_fidelity,gi_c_duration,ro_c_fidelity,ro_c_duration,gi_opt_c_fidelity,gi_opt_c_duration
0,2,1,0.4375,1.677154779,0.447265625,1.147374392,0.40625,1.284519911
1,2,2,0.41015625,1.684458494,0.390625,1.367878199,0.374023437,1.204140663
2,2,3,0.59765625,1.795404673,0.42578125,1.59368825,0.458007813,1.549046755
3,3,1,0.229492188,2.192561388,0.25,4.827504158,0.239257813,1.502268076
4,3,2,0.166992188,2.218534708,0.215820313,2.505651951,0.135742187,1.582117558
5,3,3,0.11328125,2.589917183,0.110351563,2.97980547,0.131835938,1.759648085
6,4,1,0.090820313,2.462349176,0.056640625,5.124370098,0.060546875,2.179324389
7,4,2,0.107421875,4.101860285,0.079101563,10.11426306,0.075195313,2.030144691
8,4,3,0.065429688,3.797221184,0.028320313,13.19113851,0.05859375,3.090027809
