,n,p,method,gi_c_gate_num,ro_c_gate_num,gi_opt3_c_gate_num,gi_c_fidelity,ro_c_fidelity,gi_opt3_c_fidelity
0,2,1,sabre,94,151,139,0.769354162,0.781781021,0.834848893
1,2,1,HA,40,49,73,0.812092665,0.812195692,0.824584943
2,2,1,MCPE,25,31,25,0.802532519,0.750512609,0.811988916
3,2,1,MCPE_opt,25,28,25,0.786458552,0.758043535,0.827650819
