,n,p,,gi_c_gate_num,ro_c_gate_num,gi_opt3_c_gate_num,gi_c_fidelity,ro_c_fidelity,gi_opt3_c_fidelity
0,2,1,sabre,103,103,133,0.719804699,0.74332418,0.806730679
1,2,1,HA,31,31,28,0.792272922,0.793786994,0.849957645
2,2,1,MCPE,25,28,28,0.847996147,0.761031734,0.762571938
3,2,1,MCPE_opt,25,25,25,0.788859489,0.864194092,0.86199884
