,n,p,method,gi_c_gate_num,ro_c_gate_num,gi_opt3_c_gate_num,gi_c_fidelity,ro_c_fidelity,gi_opt3_c_fidelity
0,3,1,sabre,272,370,282,0.318911797,0.241185933,0.345348484
1,3,1,HA,239,352,117,0.342229978,0.237729889,0.472986786
2,3,1,MCPE,182,283,108,0.442612212,0.234852366,0.464437221
3,3,1,MCPE_opt,176,193,102,0.395490467,0.318233035,0.475829771
