,n,p,,gi_c_gate_num,ro_c_gate_num,gi_opt3_c_gate_num,gi_c_fidelity,ro_c_fidelity,gi_opt3_c_fidelity
0,3,1,sabre,395,358,267,0.32252191,0.242618553,0.3613905
1,3,1,HA,170,397,111,0.426880379,0.271275689,0.47339551
2,3,1,MCPE,188,247,108,0.439651737,0.236691678,0.45141292
3,3,1,MCPE_opt,179,262,105,0.487183702,0.255451823,0.528880787
