,n,p,,gi_c_gate_num,ro_c_gate_num,gi_opt3_c_gate_num,gi_c_fidelity,ro_c_fidelity,gi_opt3_c_fidelity
0,2,1,sabre,67,115,103,0.729130579,0.734930641,0.797756199
1,2,1,HA,37,31,34,0.794158122,0.796524932,0.760826176
2,2,1,MCPE,25,28,28,0.843647265,0.762153885,0.769707681
3,2,1,MCPE_opt,25,25,25,0.862284071,0.865608886,0.867390124
