,n,p,,gi_c_gate_num,ro_c_gate_num,gi_opt3_c_gate_num,gi_c_fidelity,ro_c_fidelity,gi_opt3_c_fidelity
0,4,1,sabre,618,1554,422,0.116761182,0.082853544,0.184277503
1,4,1,HA,465,1584,284,0.123243467,0.092320112,0.195406204
2,4,1,MCPE,396,1278,233,0.15372124,0.080886501,0.219555541
3,4,1,MCPE_opt,399,1308,206,0.152207249,0.093015703,0.299136534
