,n,p,method,gi_c_gate_num,gi_c_fidelity,ro_c_gate_num,ro_c_fidelity,gi_opt3_c_gate_num,gi_opt3_c_fidelity
0,4,3,sabre,2157,0.1700256572105382,4899,0.07914739965832897,894,0.19786089317741387
1,4,3,HA,1398,0.2141597077551976,4773,0.13231602068754142,825,0.20573356812902022
2,4,3,MCPE,1278,0.16815676554002973,3633,0.12052652537534103,684,0.18512032466097247
3,4,3,MCPE_opt,1395,0.19598779563926524,3909,0.16133946833682544,654,0.20818205830985448
