,n,p,,gi_c_gate_num,ro_c_gate_num,gi_opt3_c_gate_num,gi_c_fidelity,ro_c_fidelity,gi_opt3_c_fidelity
0,3,1,sabre,344,388,210,0.347710766,0.237058243,0.338
1,3,1,HA,176,412,120,0.340435982,0.239221338,0.427663287
2,3,1,MCPE,182,253,105,0.428761703,0.237717955,0.451777607
3,3,1,MCPE_opt,176,190,99,0.427507618,0.328122389,0.480287406
