,n,p,,gi_c_gate_num,gi_c_fidelity,ro_c_gate_num,ro_c_fidelity,gi_opt3_c_gate_num,gi_opt3_c_fidelity
0,2,1,sabre,124,0.643004986,79,0.720352098,85,0.772981517
1,2,1,HA,28,0.815119961,28,0.829825507,49,0.767812454
2,2,1,MCPE,25,0.795612806,25,0.849298828,25,0.852680713
3,2,1,MCPE_opt,25,0.801682929,25,0.842273837,25,0.843615939
4,2,2,sabre,140,0.691870462,146,0.658942883,167,0.673253635
5,2,2,HA,56,0.762407918,56,0.726210933,56,0.8816325
6,2,2,MCPE,53,0.712529922,53,0.802026862,53,0.815823491
7,2,2,MCPE_opt,53,0.707041526,53,0.801111264,53,0.80280537
8,2,3,sabre,216,0.370444444,240,0.278333333,249,0.278
9,2,3,HA,87,0.465333333,84,0.478666667,84,0.483
10,2,3,MCPE,81,0.388888889,81,0.440777778,81,0.439
11,2,3,,,,,,,
