,n,p,,gi_c_gate_num,ro_c_gate_num,gi_opt3_c_gate_num,gi_c_fidelity,ro_c_fidelity,gi_opt3_c_fidelity
0,3,2,sabre,505,680,393,0.438776135,0.440818354,0.449474068
1,3,2,HA,313,455,216,0.471652743,0.433635261,0.501261504
2,3,2,MCPE,370,545,228,0.446236824,0.450069684,0.493704691
3,3,2,MCPE_opt,361,554,225,0.477689096,0.433301295,0.504291194
