,n,p,,gi_c_gate_num,gi_c_fidelity,ro_c_gate_num,ro_c_fidelity,gi_opt3_c_gate_num,gi_opt3_c_fidelity
0,4,2,sabre,1896,0.240975178,3363,0.278321157,877,0.237105756
1,4,2,HA,744,0.227999303,3423,0.258870414,574,0.244430935
2,4,2,MCPE,858,0.233387801,2547,0.266983954,448,0.217529273
3,4,2,MCPE_opt,945,0.207587343,2475,0.257475447,430,0.252617443
