,n,p,method,gi_c_gate_num,ro_c_gate_num,gi_opt3_c_gate_num,gi_c_fidelity,ro_c_fidelity,gi_opt3_c_fidelity
0,2,1,sabre,145,88,124,0.7253920528929961,0.7607236184142169,0.7376081930722648
1,2,1,HA,34,37,40,0.8109996917384772,0.8124047360354836,0.8739988558337425
2,2,1,MCPE,31,25,25,0.733998637599651,0.8506799618984883,0.843957343815699
3,2,1,MCPE_opt,25,25,25,0.8528167836245719,0.86,0.8839275958796871
