,n,p,,gi_c_gate_num,gi_c_fidelity,ro_c_gate_num,ro_c_fidelity,gi_opt3_c_gate_num,gi_opt3_c_fidelity
0,5,1,sabre,1213,0.040787302,6648,0.035198684,793,0.09420606
1,5,1,HA,799,0.063868774,7998,0.05083105,439,0.118980766
2,5,1,MCPE,613,0.057068098,6399,0.045,400,0.105744047
3,5,1,MCPE_opt,685,0.064983867,6213,0.052799194,433,0.086947332
