,n,p,method,gi_c_gate_num,ro_c_gate_num,gi_opt3_c_gate_num,gi_c_fidelity,ro_c_fidelity,gi_opt3_c_fidelity
0,3,3,sabre,753,921,612,0.3825542274099852,0.33741315244474984,0.355024758212037
1,3,3,HA,471,924,333,0.4091504863022276,0.36628433073050976,0.43051490668204984
2,3,3,MCPE,552,786,348,0.4240668307421026,0.3394605141635151,0.4044578712867514
3,3,3,MCPE_opt,543,804,345,0.46635609441538356,0.35407023663563475,0.49068969055393136
