,n,p,,gi_c_gate_num,ro_c_gate_num,gi_opt3_c_gate_num,gi_c_fidelity,ro_c_fidelity,gi_opt3_c_fidelity
0,2,2,sabre,158,122,113,0.656742727,0.691017813,0.689007915
1,2,2,HA,80,77,77,0.70421657,0.692331074,0.716188202
2,2,2,MCPE,53,53,53,0.708958553,0.711011317,0.709494758
3,2,2,MCPE_opt,53,53,53,0.819251813,0.816022984,0.818115188
